Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2005","2005","kcal/cap/d","2165","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2006","2006","kcal/cap/d","2190","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2007","2007","kcal/cap/d","2217","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2008","2008","kcal/cap/d","2241","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2009","2009","kcal/cap/d","2265","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2010","2010","kcal/cap/d","2328","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2011","2011","kcal/cap/d","2327","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2012","2012","kcal/cap/d","2333","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2013","2013","kcal/cap/d","2333","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2014","2014","kcal/cap/d","2331","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2015","2015","kcal/cap/d","2314","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2016","2016","kcal/cap/d","2286","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2017","2017","kcal/cap/d","2307","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2018","2018","kcal/cap/d","2305","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2019","2019","kcal/cap/d","2296","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2020","2020","kcal/cap/d","2314","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2021","2021","kcal/cap/d","2312","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2022","2022","kcal/cap/d","2320","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2023","2023","kcal/cap/d","2310","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20002002","2000-2002","kcal/cap/d","2095","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20012003","2001-2003","kcal/cap/d","2114","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20022004","2002-2004","kcal/cap/d","2132","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20032005","2003-2005","kcal/cap/d","2149","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20042006","2004-2006","kcal/cap/d","2166","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20052007","2005-2007","kcal/cap/d","2191","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20062008","2006-2008","kcal/cap/d","2216","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20072009","2007-2009","kcal/cap/d","2241","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20082010","2008-2010","kcal/cap/d","2278","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20092011","2009-2011","kcal/cap/d","2307","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20102012","2010-2012","kcal/cap/d","2329","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20112013","2011-2013","kcal/cap/d","2331","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20122014","2012-2014","kcal/cap/d","2332","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20132015","2013-2015","kcal/cap/d","2326","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20142016","2014-2016","kcal/cap/d","2310","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20152017","2015-2017","kcal/cap/d","2302","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20162018","2016-2018","kcal/cap/d","2299","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20172019","2017-2019","kcal/cap/d","2302","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20182020","2018-2020","kcal/cap/d","2304","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20192021","2019-2021","kcal/cap/d","2307","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20202022","2020-2022","kcal/cap/d","2314","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","22000","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average)","20212023","2021-2023","kcal/cap/d","2313","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)","20002002","2000-2002","%","70","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)","20012003","2001-2003","%","70","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)","20022004","2002-2004","%","69","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)","20032005","2003-2005","%","69","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)","20042006","2004-2006","%","69","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)","20052007","2005-2007","%","69","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)","20062008","2006-2008","%","69","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)","20072009","2007-2009","%","68","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)","20082010","2008-2010","%","68","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)","20092011","2009-2011","%","69","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)","20102012","2010-2012","%","68","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)","20112013","2011-2013","%","65","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)","20122014","2012-2014","%","67","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)","20132015","2013-2015","%","66","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)","20142016","2014-2016","%","66","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)","20152017","2015-2017","%","66","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)","20162018","2016-2018","%","66","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)","20172019","2017-2019","%","66","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)","20182020","2018-2020","%","66","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)","20192021","2019-2021","%","65","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)","20202022","2020-2022","%","65","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20002002","2000-2002","g/cap/d","53.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20012003","2001-2003","g/cap/d","54.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20022004","2002-2004","g/cap/d","55.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20032005","2003-2005","g/cap/d","55.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20042006","2004-2006","g/cap/d","56.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20052007","2005-2007","g/cap/d","56.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20062008","2006-2008","g/cap/d","57.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20072009","2007-2009","g/cap/d","58.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20082010","2008-2010","g/cap/d","61.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20092011","2009-2011","g/cap/d","63.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20102012","2010-2012","g/cap/d","60.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20112013","2011-2013","g/cap/d","60","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20122014","2012-2014","g/cap/d","61.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20132015","2013-2015","g/cap/d","60.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20142016","2014-2016","g/cap/d","60.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/cap/d","60.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20162018","2016-2018","g/cap/d","59.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/cap/d","59.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20182020","2018-2020","g/cap/d","60","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","60.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20202022","2020-2022","g/cap/d","60.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20002002","2000-2002","g/cap/d","9","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20012003","2001-2003","g/cap/d","9.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20022004","2002-2004","g/cap/d","9.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20032005","2003-2005","g/cap/d","10.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20042006","2004-2006","g/cap/d","10.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20052007","2005-2007","g/cap/d","10.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20062008","2006-2008","g/cap/d","10.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20072009","2007-2009","g/cap/d","10.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20082010","2008-2010","g/cap/d","10.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20092011","2009-2011","g/cap/d","11","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20102012","2010-2012","g/cap/d","10.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20112013","2011-2013","g/cap/d","11.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20122014","2012-2014","g/cap/d","11.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20132015","2013-2015","g/cap/d","11.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20142016","2014-2016","g/cap/d","11.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/cap/d","11.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20162018","2016-2018","g/cap/d","11","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20172019","2017-2019","g/cap/d","11","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20182020","2018-2020","g/cap/d","11.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","11.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20202022","2020-2022","g/cap/d","11.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2000","2000","Int$/cap","1571.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2001","2001","Int$/cap","1599.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2002","2002","Int$/cap","1624.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2003","2003","Int$/cap","1657.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2004","2004","Int$/cap","1713.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2005","2005","Int$/cap","1777.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2006","2006","Int$/cap","1833.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2007","2007","Int$/cap","1900.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2008","2008","Int$/cap","1955","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2009","2009","Int$/cap","1989.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2010","2010","Int$/cap","2070.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2011","2011","Int$/cap","2129.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2012","2012","Int$/cap","2076.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2013","2013","Int$/cap","2046.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2014","2014","Int$/cap","2093.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2015","2015","Int$/cap","2126.6","X","Figure from international organizations",""
